tournament,team,wins,matches,goal_difference,goal_difference_average,win_ratio,continent
Other,Saint Pierre and Miquelon,0.0,7.0,-76.0,-10.857142857142858,0.0,America
Other,Saint Vincent and the Grenadines,49.0,116.0,5.0,0.04310344827586207,0.4224137931034483,America
Other,Samoa,16.0,42.0,-62.0,-1.4761904761904763,0.38095238095238093,Oceania
Other,San Marino,0.0,162.0,-695.0,-4.290123456790123,0.0,Europe
Other,Saudi Arabia,198.0,364.0,308.0,0.8461538461538461,0.5439560439560439,Asia
Other,Scotland,270.0,526.0,352.0,0.6692015209125475,0.5133079847908745,Europe
Other,Senegal,130.0,253.0,192.0,0.758893280632411,0.5138339920948617,Africa
Other,Serbia,80.0,156.0,136.0,0.8717948717948718,0.5128205128205128,Europe
Other,Seychelles,6.0,88.0,-153.0,-1.7386363636363635,0.06818181818181818,Africa
Other,Sierra Leone,52.0,169.0,-41.0,-0.24260355029585798,0.3076923076923077,Africa
Other,Singapore,95.0,355.0,-272.0,-0.7661971830985915,0.2676056338028169,Asia
Other,Slovakia,76.0,171.0,70.0,0.4093567251461988,0.4444444444444444,Europe
Other,Slovenia,65.0,171.0,25.0,0.14619883040935672,0.38011695906432746,Europe
Other,Solomon Islands,49.0,107.0,59.0,0.5514018691588785,0.45794392523364486,Oceania
Other,Somalia,7.0,90.0,-202.0,-2.2444444444444445,0.07777777777777778,Africa
Other,South Africa,92.0,194.0,90.0,0.4639175257731959,0.4742268041237113,Africa
Other,South Korea,327.0,557.0,707.0,1.2692998204667865,0.5870736086175943,Asia
Other,South Sudan,8.0,41.0,-45.0,-1.0975609756097562,0.1951219512195122,Africa
Other,Spain,180.0,256.0,450.0,1.7578125,0.703125,Europe
Other,Sri Lanka,29.0,145.0,-213.0,-1.4689655172413794,0.2,Asia
Other,Sudan,92.0,266.0,-46.0,-0.17293233082706766,0.3458646616541353,Africa
Other,Suriname,71.0,184.0,29.0,0.15760869565217392,0.3858695652173913,America
Other,Sweden,236.0,409.0,420.0,1.0268948655256724,0.5770171149144254,Europe
Other,Switzerland,120.0,290.0,64.0,0.2206896551724138,0.41379310344827586,Europe
Other,Syria,112.0,264.0,110.0,0.4166666666666667,0.42424242424242425,Asia
Other,São Tomé and Príncipe,8.0,38.0,-65.0,-1.7105263157894737,0.21052631578947367,Africa
Other,Taiwan,30.0,132.0,-206.0,-1.5606060606060606,0.22727272727272727,Asia
Other,Tajikistan,44.0,94.0,46.0,0.48936170212765956,0.46808510638297873,Asia
Other,Tanzania,72.0,265.0,-66.0,-0.2490566037735849,0.27169811320754716,Africa
Other,Thailand,187.0,542.0,-75.0,-0.13837638376383765,0.34501845018450183,Asia
Other,Timor-Leste,0.0,6.0,-25.0,-4.166666666666667,0.0,Asia
Other,Togo,65.0,196.0,-17.0,-0.08673469387755102,0.33163265306122447,Africa
Other,Tonga,13.0,43.0,-103.0,-2.395348837209302,0.3023255813953488,Oceania
Other,Trinidad and Tobago,143.0,314.0,140.0,0.445859872611465,0.4554140127388535,America
Other,Tunisia,121.0,225.0,195.0,0.8666666666666667,0.5377777777777778,Africa
Other,Turkey,108.0,272.0,1.0,0.003676470588235294,0.39705882352941174,Asia
Other,Turkmenistan,42.0,97.0,29.0,0.29896907216494845,0.4329896907216495,Asia
Other,Turks and Caicos Islands,3.0,22.0,-100.0,-4.545454545454546,0.13636363636363635,America
Other,Tuvalu,3.0,20.0,-88.0,-4.4,0.15,Oceania
Other,Uganda,152.0,326.0,147.0,0.450920245398773,0.4662576687116564,Africa
Other,Ukraine,71.0,154.0,79.0,0.512987012987013,0.461038961038961,Europe
Other,United Arab Emirates,143.0,345.0,45.0,0.13043478260869565,0.4144927536231884,Asia
Other,United States,168.0,293.0,219.0,0.7474402730375427,0.5733788395904437,America
Other,Uruguay,131.0,328.0,41.0,0.125,0.39939024390243905,America
Other,Uzbekistan,87.0,165.0,125.0,0.7575757575757576,0.5272727272727272,Asia
Other,Vanuatu,40.0,107.0,23.0,0.21495327102803738,0.37383177570093457,Oceania
Other,Venezuela,27.0,161.0,-222.0,-1.3788819875776397,0.16770186335403728,America
Other,Vietnam,123.0,308.0,39.0,0.1266233766233766,0.39935064935064934,Asia
Other,Wales,161.0,492.0,-176.0,-0.35772357723577236,0.32723577235772355,Europe
Other,Wallis Islands and Futuna,5.0,20.0,-59.0,-2.95,0.25,Oceania
Other,Yemen,32.0,182.0,-282.0,-1.5494505494505495,0.17582417582417584,Asia
Other,Zambia,171.0,356.0,203.0,0.5702247191011236,0.4803370786516854,Africa
Other,Zimbabwe,117.0,276.0,88.0,0.3188405797101449,0.42391304347826086,Africa
Other,Åland Islands,9.0,24.0,-10.0,-0.4166666666666667,0.375,Europe
UEFA Euro,Albania,1.0,3.0,-2.0,-0.6666666666666666,0.3333333333333333,Europe
UEFA Euro,Austria,2.0,10.0,-5.0,-0.5,0.2,Europe
UEFA Euro,Belgium,10.0,21.0,1.0,0.047619047619047616,0.47619047619047616,Europe
UEFA Euro,Bulgaria,1.0,6.0,-9.0,-1.5,0.16666666666666666,Europe
UEFA Euro,Croatia,9.0,22.0,2.0,0.09090909090909091,0.4090909090909091,Europe
UEFA Euro,Czech Republic,12.0,29.0,-1.0,-0.034482758620689655,0.41379310344827586,Europe
UEFA Euro,Denmark,9.0,32.0,-13.0,-0.40625,0.28125,Europe
UEFA Euro,England,15.0,37.0,15.0,0.40540540540540543,0.40540540540540543,Europe
UEFA Euro,Finland,1.0,3.0,-2.0,-0.6666666666666666,0.3333333333333333,Europe
UEFA Euro,France,20.0,40.0,21.0,0.525,0.5,Europe
UEFA Euro,Germany,25.0,50.0,20.0,0.4,0.5,Europe
UEFA Euro,Greece,5.0,15.0,-4.0,-0.26666666666666666,0.3333333333333333,Europe
UEFA Euro,Hungary,2.0,11.0,-6.0,-0.5454545454545454,0.18181818181818182,Europe
UEFA Euro,Iceland,2.0,5.0,-1.0,-0.2,0.4,Europe
UEFA Euro,Italy,20.0,42.0,19.0,0.4523809523809524,0.47619047619047616,Europe
UEFA Euro,Latvia,0.0,3.0,-4.0,-1.3333333333333333,0.0,Europe
UEFA Euro,Netherlands,19.0,36.0,25.0,0.6944444444444444,0.5277777777777778,Europe
UEFA Euro,Northern Ireland,1.0,4.0,-1.0,-0.25,0.25,Europe
UEFA Euro,Norway,1.0,3.0,0.0,0.0,0.3333333333333333,Europe
UEFA Euro,Poland,2.0,14.0,-4.0,-0.2857142857142857,0.14285714285714285,Europe
UEFA Euro,Portugal,19.0,39.0,18.0,0.46153846153846156,0.48717948717948717,Europe
UEFA Euro,Republic of Ireland,2.0,10.0,-11.0,-1.1,0.2,Europe
UEFA Euro,Romania,1.0,16.0,-11.0,-0.6875,0.0625,Europe
UEFA Euro,Russia,11.0,34.0,-16.0,-0.47058823529411764,0.3235294117647059,Europe
UEFA Euro,Scotland,2.0,9.0,-5.0,-0.5555555555555556,0.2222222222222222,Europe
UEFA Euro,Serbia,1.0,4.0,-5.0,-1.25,0.25,Europe
UEFA Euro,Slovakia,2.0,7.0,-8.0,-1.1428571428571428,0.2857142857142857,Europe
UEFA Euro,Slovenia,0.0,3.0,-1.0,-0.3333333333333333,0.0,Europe
UEFA Euro,Spain,21.0,46.0,26.0,0.5652173913043478,0.45652173913043476,Europe
UEFA Euro,Sweden,7.0,24.0,2.0,0.08333333333333333,0.2916666666666667,Europe
UEFA Euro,Switzerland,3.0,18.0,-8.0,-0.4444444444444444,0.16666666666666666,Europe
UEFA Euro,Turkey,4.0,18.0,-16.0,-0.8888888888888888,0.2222222222222222,Asia
UEFA Euro,Ukraine,3.0,11.0,-11.0,-1.0,0.2727272727272727,Europe
UEFA Euro,Wales,5.0,10.0,1.0,0.1,0.5,Europe
FIFA World Cup,Indonesia,0.0,1.0,-6.0,-6.0,0.0,Asia
FIFA World Cup,Kuwait,0.0,2.0,-4.0,-2.0,0.0,Asia
FIFA World Cup,Wales,1.0,5.0,0.0,0.0,0.2,Europe
Friendly,American Samoa,0.0,1.0,-6.0,-6.0,0.0,Oceania
Friendly,Anguilla,0.0,1.0,-15.0,-15.0,0.0,America
Friendly,Monaco,0.0,2.0,-4.0,-2.0,0.0,Europe
Friendly,Montserrat,0.0,1.0,-4.0,-4.0,0.0,America
