team,wins,matches,goal_difference,win_ratio,goal_difference_average,continent
Puerto Rico,22.0,117.0,-153.0,0.18803418803418803,-1.3076923076923077,America
Qatar,234.0,559.0,143.0,0.4186046511627907,0.2558139534883721,Asia
Republic of Ireland,219.0,571.0,103.0,0.38353765323992994,0.18038528896672504,Europe
Romania,290.0,647.0,280.0,0.4482225656877898,0.4327666151468315,Europe
Russia,351.0,688.0,511.0,0.5101744186046512,0.7427325581395349,Europe
Rwanda,81.0,242.0,-33.0,0.3347107438016529,-0.13636363636363635,Africa
Réunion,27.0,81.0,-56.0,0.3333333333333333,-0.691358024691358,Africa
Saint Kitts and Nevis,63.0,171.0,-17.0,0.3684210526315789,-0.09941520467836257,America
Saint Lucia,58.0,191.0,-139.0,0.3036649214659686,-0.7277486910994765,America
Saint Pierre and Miquelon,0.0,7.0,-76.0,0.0,-10.857142857142858,America
Saint Vincent and the Grenadines,60.0,146.0,10.0,0.410958904109589,0.0684931506849315,America
Samoa,16.0,46.0,-72.0,0.34782608695652173,-1.565217391304348,Oceania
San Marino,1.0,180.0,-748.0,0.005555555555555556,-4.155555555555556,Europe
Saudi Arabia,308.0,637.0,330.0,0.4835164835164835,0.5180533751962323,Asia
Scotland,376.0,785.0,390.0,0.4789808917197452,0.4968152866242038,Europe
Senegal,244.0,549.0,201.0,0.4444444444444444,0.366120218579235,Africa
Serbia,133.0,293.0,150.0,0.4539249146757679,0.5119453924914675,Europe
Seychelles,14.0,119.0,-181.0,0.11764705882352941,-1.5210084033613445,Africa
Sierra Leone,79.0,260.0,-106.0,0.3038461538461538,-0.4076923076923077,Africa
Singapore,163.0,555.0,-338.0,0.2936936936936937,-0.609009009009009,Asia
Slovakia,125.0,315.0,52.0,0.3968253968253968,0.16507936507936508,Europe
Slovenia,93.0,265.0,12.0,0.35094339622641507,0.045283018867924525,Europe
Solomon Islands,68.0,149.0,82.0,0.4563758389261745,0.5503355704697986,Oceania
Somalia,8.0,100.0,-237.0,0.08,-2.37,Africa
South Africa,189.0,424.0,151.0,0.44575471698113206,0.3561320754716981,Africa
South Korea,467.0,883.0,761.0,0.5288788221970555,0.8618346545866364,Asia
South Sudan,8.0,48.0,-52.0,0.16666666666666666,-1.0833333333333333,Africa
Spain,402.0,686.0,779.0,0.5860058309037901,1.1355685131195334,Europe
Sri Lanka,38.0,209.0,-309.0,0.18181818181818182,-1.4784688995215312,Asia
Sudan,135.0,408.0,-100.0,0.33088235294117646,-0.24509803921568626,Africa
Suriname,151.0,348.0,159.0,0.4339080459770115,0.45689655172413796,America
Sweden,505.0,1014.0,729.0,0.4980276134122288,0.7189349112426036,Europe
Switzerland,283.0,787.0,-121.0,0.3595933926302414,-0.15374841168996187,Europe
Syria,155.0,427.0,50.0,0.3629976580796253,0.117096018735363,Asia
São Tomé and Príncipe,8.0,48.0,-79.0,0.16666666666666666,-1.6458333333333333,Africa
Taiwan,43.0,169.0,-223.0,0.25443786982248523,-1.319526627218935,Asia
Tajikistan,58.0,150.0,7.0,0.38666666666666666,0.04666666666666667,Asia
Tanzania,125.0,500.0,-241.0,0.25,-0.482,Africa
Thailand,234.0,657.0,-72.0,0.3561643835616438,-0.1095890410958904,Asia
Timor-Leste,0.0,7.0,-25.0,0.0,-3.5714285714285716,Asia
Togo,122.0,396.0,-109.0,0.30808080808080807,-0.27525252525252525,Africa
Tonga,13.0,50.0,-127.0,0.26,-2.54,Oceania
Trinidad and Tobago,289.0,671.0,255.0,0.4307004470938897,0.38002980625931443,America
Tunisia,253.0,588.0,250.0,0.4302721088435374,0.42517006802721086,Africa
Turkey,222.0,568.0,-19.0,0.3908450704225352,-0.03345070422535211,Asia
Turkmenistan,53.0,140.0,4.0,0.37857142857142856,0.02857142857142857,Asia
Turks and Caicos Islands,3.0,25.0,-112.0,0.12,-4.48,America
Tuvalu,5.0,26.0,-117.0,0.19230769230769232,-4.5,Oceania
Uganda,246.0,602.0,184.0,0.40863787375415284,0.30564784053156147,Africa
Ukraine,129.0,291.0,103.0,0.44329896907216493,0.3539518900343643,Europe
United Arab Emirates,216.0,541.0,70.0,0.39926062846580407,0.12939001848428835,Asia
United States,312.0,708.0,128.0,0.4406779661016949,0.1807909604519774,America
Uruguay,386.0,894.0,271.0,0.4317673378076063,0.30313199105145416,America
Uzbekistan,125.0,286.0,128.0,0.4370629370629371,0.44755244755244755,Asia
