date,tournament,team,scored_goals,matches,conceded_goals,continent
2004,Friendly,Sudan,3.0,4.0,5.0,Africa
2004,Other,Sudan,13.0,10.0,17.0,Africa
2004,Friendly,Suriname,2.0,3.0,5.0,Americas
2004,Other,Suriname,15.0,7.0,10.0,Americas
2004,Friendly,Sweden,16.0,7.0,9.0,Europe
2004,Other,Sweden,14.0,5.0,5.0,Europe
2004,UEFA Euro,Sweden,8.0,4.0,3.0,Europe
2004,Friendly,Switzerland,4.0,6.0,6.0,Europe
2004,Other,Switzerland,9.0,3.0,3.0,Europe
2004,UEFA Euro,Switzerland,1.0,3.0,6.0,Europe
2004,Friendly,Syria,15.0,11.0,10.0,Asia
2004,Other,Syria,13.0,10.0,20.0,Asia
2004,Other,Tajikistan,5.0,6.0,9.0,Asia
2004,Other,Tanzania,1.0,3.0,9.0,Africa
2004,Friendly,Thailand,7.0,6.0,14.0,Asia
2004,Other,Thailand,16.0,14.0,24.0,Asia
2004,Friendly,Togo,2.0,3.0,1.0,Africa
2004,Other,Togo,6.0,5.0,2.0,Africa
2004,Other,Tonga,2.0,3.0,15.0,Oceania
2004,Friendly,Trinidad and Tobago,12.0,10.0,19.0,Americas
2004,Other,Trinidad and Tobago,22.0,9.0,8.0,Americas
2004,African Cup of Nations,Tunisia,10.0,6.0,4.0,Africa
2004,Friendly,Tunisia,5.0,6.0,9.0,Africa
2004,Other,Tunisia,8.0,4.0,6.0,Africa
2004,Friendly,Turkey,12.0,7.0,9.0,Asia
2004,Other,Turkey,6.0,5.0,5.0,Asia
2004,Other,Turkmenistan,12.0,9.0,16.0,Asia
2004,Other,Turks and Caicos Islands,0.0,2.0,7.0,Americas
2004,Friendly,Uganda,5.0,6.0,12.0,Africa
2004,Other,Uganda,6.0,8.0,8.0,Africa
2004,Friendly,Ukraine,2.0,5.0,7.0,Europe
2004,Other,Ukraine,9.0,5.0,3.0,Europe
2004,Friendly,United Arab Emirates,13.0,7.0,11.0,Asia
2004,Other,United Arab Emirates,15.0,15.0,19.0,Asia
2004,Friendly,United States,8.0,6.0,3.0,Americas
2004,Other,United States,19.0,8.0,5.0,Americas
2004,Copa América,Uruguay,12.0,6.0,10.0,Americas
2004,Other,Uruguay,5.0,7.0,15.0,Americas
2004,Other,Uzbekistan,20.0,9.0,5.0,Asia
2004,Friendly,Vanuatu,2.0,2.0,4.0,Oceania
2004,Other,Vanuatu,20.0,8.0,9.0,Oceania
2004,Copa América,Venezuela,2.0,3.0,5.0,Americas
2004,Friendly,Venezuela,6.0,5.0,8.0,Americas
2004,Other,Venezuela,10.0,7.0,11.0,Americas
2004,Friendly,Vietnam,7.0,2.0,1.0,Asia
2004,Other,Vietnam,18.0,10.0,14.0,Asia
2004,Friendly,Wales,7.0,4.0,0.0,Europe
2004,Other,Wales,5.0,4.0,8.0,Europe
2004,Friendly,Yemen,7.0,6.0,13.0,Asia
2004,Other,Yemen,7.0,13.0,29.0,Asia
2004,Friendly,Zambia,7.0,7.0,7.0,Africa
2004,Other,Zambia,9.0,8.0,5.0,Africa
2004,African Cup of Nations,Zimbabwe,6.0,3.0,8.0,Africa
2004,Friendly,Zimbabwe,5.0,5.0,3.0,Africa
2004,Other,Zimbabwe,9.0,7.0,6.0,Africa
2005,Friendly,Albania,2.0,2.0,2.0,Europe
2005,Other,Albania,8.0,8.0,15.0,Europe
2005,Friendly,Algeria,3.0,2.0,3.0,Africa
2005,Other,Algeria,6.0,5.0,9.0,Africa
2005,Other,Andorra,2.0,8.0,23.0,Europe
2005,Friendly,Angola,5.0,6.0,6.0,Africa
2005,Other,Angola,8.0,6.0,6.0,Africa
